,id,symbol,name,current_price,market_cap,total_volume,last_updated
0,binancecoin,bnb,BNB,866.73,120609653542,708217260,2025-08-31T21:14:51.000
1,bitcoin,btc,Bitcoin,108967,2170651512058,25089055932,2025-08-31T21:14:54.000
2,dogecoin,doge,Dogecoin,0.217359,32790610562,949589722,2025-08-31T21:14:53.000
3,ethereum,eth,Ethereum,4454.48,537528129381,21139859920,2025-08-31T21:14:53.000
4,ripple,xrp,XRP,2.81,166964988318,2988275610,2025-08-31T21:14:57.000
5,solana,sol,Solana,204.48,110666834694,4875375942,2025-08-31T21:14:58.000
6,staked-ether,steth,Lido Staked Ether,4443,38763768382,33906731,2025-08-31T21:14:57.000
7,tether,usdt,Tether,1,168032940586,54538864224,2025-08-31T21:14:59.000
8,tron,trx,TRON,0.342296,32408719030,433745909,2025-08-31T21:14:58.000
9,usd-coin,usdc,USDC,0.999703,71539261561,5719463800,2025-08-31T21:14:59.000
